Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
29/06/74;0.029
30/06/74;0.037
01/07/74;0.037
02/07/74;0.052
03/07/74;0.037
04/07/74;0.037
05/07/74;0.029
06/07/74;0.029
07/07/74;0.029
08/07/74;0.029
09/07/74;0.029
10/07/74;0.029
11/07/74;0.75
12/07/74;0.462
13/07/74;2.54
14/07/74;3.48
15/07/74;0.568
16/07/74;0.128
17/07/74;4.42
18/07/74;0.438
19/07/74;0.01
20/07/74;0.014
21/07/74;0.048
22/07/74;1.46
23/07/74;0.101
24/07/74;0.045
25/07/74;0.119
26/07/74;0.043
27/07/74;0.045
28/07/74;0.082
29/07/74;0.082
30/07/74;0.082
31/07/74;0.082
01/08/74;0.119
02/08/74;0.996
03/08/74;0.124
04/08/74;0.419
05/08/74;3.74
06/08/74;2.63
07/08/74;53.4
08/08/74;1.21
09/08/74;0.622
10/08/74;0.506
11/08/74;0.275
12/08/74;0.092
13/08/74;0.092
14/08/74;0.153
15/08/74;0.153
16/08/74;0.393
17/08/74;0.506
18/08/74;0.388
19/08/74;1.84
20/08/74;0.429
21/08/74;0.352
22/08/74;0.275
23/08/74;0.214
24/08/74;0.194
25/08/74;0.153
26/08/74;0.174
27/08/74;0.133
28/08/74;0.133
29/08/74;0.133
30/08/74;0.133
31/08/74;0.153
01/09/74;0.153
02/09/74;0.153
03/09/74;0.153
04/09/74;0.153
05/09/74;0.153
06/09/74;0.153
07/09/74;0.153
08/09/74;0.153
09/09/74;0.153
10/09/74;0.133
11/09/74;0.153
12/09/74;0.153
13/09/74;0.547
14/09/74;0.234
15/09/74;0.194
16/09/74;0.214
17/09/74;0.391
18/09/74;0.214
19/09/74;0.194
20/09/74;0.194
21/09/74;0.174
22/09/74;0.194
23/09/74;0.174
24/09/74;0.194
25/09/74;0.174
26/09/74;0.174
27/09/74;0.194
28/09/74;0.214
29/09/74;0.194
30/09/74;0.194
01/10/74;0.194
02/10/74;0.194
03/10/74;0.367
04/10/74;0.194
05/10/74;0.214
06/10/74;0.255
07/10/74;0.234
08/10/74;0.234
09/10/74;0.234
10/10/74;0.234
11/10/74;0.234
12/10/74;0.234
13/10/74;1.92
14/10/74;0.429
15/10/74;0.314
16/10/74;0.314
17/10/74;1.32
18/10/74;0.897
19/10/74;0.391
20/10/74;0.352
21/10/74;0.352
22/10/74;0.352
23/10/74;0.352
24/10/74;0.352
25/10/74;0.352
26/10/74;0.352
27/10/74;3.49
28/10/74;0.702
29/10/74;0.583
30/10/74;0.506
31/10/74;0.468
01/11/74;0.468
02/11/74;0.468
03/11/74;1.37
04/11/74;0.622
05/11/74;0.583
06/11/74;0.506
07/11/74;0.506
08/11/74;0.506
09/11/74;0.429
10/11/74;0.391
11/11/74;0.391
12/11/74;0.391
13/11/74;0.545
14/11/74;0.391
15/11/74;0.391
16/11/74;0.352
17/11/74;0.352
18/11/74;0.352
19/11/74;0.352
20/11/74;0.352
21/11/74;0.352
22/11/74;0.352
