Sekkak-Learn;
Sekkak-Learn;
N;Q
954;0.45
955;0.45
956;0.45
957;0.53
958;0.45
959;0.45
960;0.45
961;0.45
962;0.53
963;0.45
964;0.53
965;0.53
966;0.45
967;0.45
968;0.45
969;0.67
970;0.86
971;0.6
972;0.6
973;0.6
974;0.6
975;0.6
976;0.67
977;0.6
978;0.6
979;0.6
980;0.67
981;0.6
982;0.6
983;0.6
984;0.6
985;0.6
986;0.6
987;0.6
988;0.6
989;0.6
990;0.6
991;0.6
992;0.6
993;0.6
994;0.6
995;0.6
996;0.6
997;0.6
998;0.6
999;0.6
1000;0.6
1001;0.6
1002;0.6
1003;0.6
1004;0.6
1005;0.6
1006;0.6
1007;0.6
1008;0.6
1009;0.6
1010;0.67
1011;0.67
1012;0.6
1013;0.67
1014;0.6
1015;0.6
1016;0.6
1017;0.6
1018;0.6
1019;0.6
1020;0.6
1021;0.6
1022;0.6
1023;0.6
1024;0.6
1025;0.6
1026;0.6
1027;0.86
1028;1.8
1029;1.15
1030;1.31
1031;1.8
1032;4.2803030303
1033;2.5416666667
1034;2.56
1035;1.49
1036;1.49
1037;1.31
1038;1.15
1039;1.15
1040;1.05
1041;1.05
1042;0.99
1043;1.05
1044;1.05
1045;1.05
1046;0.99
1047;0.99
1048;0.99
1049;1.8791666667
1050;2.4291666667
1051;2.4291666667
1052;2.1
1053;1.8
1054;1.6285714286
1055;1.47
1056;1.39
1057;1.31
1058;1.3863636364
1059;1.9916666667
1060;1.8818181818
1061;5.5849315068
1062;12.6
1063;7.0977272727
1064;5.6
1065;4.025
1066;3.25
1067;2.65
1068;2.88
1069;2.32
1070;2
1071;1.88
1072;1.71
1073;1.5
1074;1.49
1075;1.5
1076;1.8
1077;1.31
1078;1.8
1079;1.31
1080;1.31
1081;1.8
1082;1.31
1083;1.31
1084;1.31
1085;1.47
1086;1.47
1087;1.47
1088;1.39
1089;1.39
1090;1.39
1091;1.31
1092;1.31
1093;1.31
1094;1.8
1095;1.15
1096;1.15
1097;1.15
1098;1.15
1099;1.05
1100;1.05
1101;1.15
1102;1.05
1103;0.9
1104;0.9
1105;0.9
1106;0.9
1107;0.86
1108;0.86
1109;0.86
1110;0.73
1111;0.73
1112;0.73
1113;0.73
1114;0.67
1115;0.67
1116;0.73
1117;0.73
1118;0.73
1119;0.67
1120;0.67
1121;0.67
1122;0.67
1123;0.67
1124;0.67
1125;0.67
1126;0.67
1127;0.86
1128;0.73
1129;0.67
1130;0.67
1131;0.67
1132;0.67
1133;0.67
1134;0.67
1135;0.67
1136;0.67
1137;0.67
1138;0.67
1139;0.67
1140;0.6
1141;0.6
1142;0.6
1143;0.67
1144;0.67
1145;0.6
1146;0.6
1147;0.6
1148;0.6
1149;0.53
1150;0.6
1151;0.6
1152;0.6
1153;0.6
1154;0.53
1155;0.53
1156;0.53
1157;0.53
1158;0.53
1159;0.53
1160;0.53
1161;0.53
1162;0.53
1163;0.53
1164;0.53
1165;0.53
1166;0.45
1167;0.45
1168;0.45
1169;0.45
1170;0.83
1171;1.3892857143
1172;4.57
1173;0.99
1174;0.8
1175;0.73
1176;0.73
1177;0.67
1178;0.67
1179;0.67
1180;0.6
1181;0.6
1182;0.6
1183;0.86
1184;1.15
1185;1.15
1186;4.98
1187;3.5
1188;2.3
1189;0.86
1190;0.86
1191;0.8
1192;0.73
1193;0.73
1194;0.73
1195;0.73
1196;0.73
1197;0.67
1198;0.67
1199;0.67
1200;0.67
1201;0.67
1202;0.67
1203;0.6
1204;0.67
1205;0.53
1206;0.6
1207;0.6
1208;0.6
1209;0.6
1210;0.6
1211;0.53
1212;0.6
1213;0.6
1214;0.53
1215;0.6
1216;0.53
1217;0.45
1218;0.53
1219;0.6
1220;0.6
1221;0.53
1222;0.45
1223;0.45
1224;0.45
1225;0.45
1226;0.45
1227;0.45
1228;0.45
1229;0.45
1230;0.45
1231;0.45
1232;0.45
1233;0.4
1234;0.4
1235;0.45
1236;0.45
1237;0.45
1238;0.4
1239;0.45
1240;0.45
1241;0.45
1242;0.45
1243;0.45
1244;0.45
1245;0.45
1246;0.45
1247;0.45
1248;0.45
1249;0.4
1250;0.4
1251;0.4
1252;0.4
1253;0.4
1254;0.4
1255;0.45
1256;0.4
1257;0.45
1258;0.45
1259;0.45
1260;0.45
1261;0.4
1262;0.4
1263;0.4
1264;0.4
1265;0.4
1266;0.4
1267;0.4
1268;0.4
1269;0.4
1270;0.4
1271;0.4
1272;0.4
1273;0.4
1274;0.45
1275;0.4
1276;0.4
1277;0.45
1278;0.45
1279;0.45
1280;0.45
1281;0.45
1282;0.4
